main::558->Listening to port 4567
Reset::268->Twiddle Updating:it=0,p=[0.000000,0.000000,0.000000],dp=[1.000000,1.000000,1.000000],best_err=1000.000000,err=457.557573
Reset::268->Twiddle Updating:it=1,p=[1.000000,0.000000,0.000000],dp=[1.000000,1.000000,1.000000],best_err=457.557573,err=305.903922
Reset::272->Twiddle Ignoring:it=2,p=[1.000000,1.000000,0.000000],dp=[1.100000,1.000000,1.000000],best_err=305.903922,err=878.789831
Reset::272->Twiddle Ignoring:it=3,p=[1.000000,-1.000000,0.000000],dp=[1.100000,1.000000,1.000000],best_err=305.903922,err=1040.830638
Reset::268->Twiddle Updating:it=4,p=[1.000000,0.000000,1.000000],dp=[1.100000,0.900000,1.000000],best_err=305.903922,err=270.078719
Reset::272->Twiddle Ignoring:it=5,p=[2.100000,0.000000,1.000000],dp=[1.100000,0.900000,1.100000],best_err=270.078719,err=328.784078
Reset::272->Twiddle Ignoring:it=6,p=[-0.100000,0.000000,1.000000],dp=[1.100000,0.900000,1.100000],best_err=270.078719,err=657.433485
Reset::272->Twiddle Ignoring:it=7,p=[1.000000,0.900000,1.000000],dp=[0.990000,0.900000,1.100000],best_err=270.078719,err=850.044170
Reset::272->Twiddle Ignoring:it=8,p=[1.000000,-0.900000,1.000000],dp=[0.990000,0.900000,1.100000],best_err=270.078719,err=1125.525079
Reset::268->Twiddle Updating:it=9,p=[1.000000,0.000000,2.100000],dp=[0.990000,0.810000,1.100000],best_err=270.078719,err=255.581268
Reset::272->Twiddle Ignoring:it=10,p=[1.990000,0.000000,2.100000],dp=[0.990000,0.810000,1.210000],best_err=255.581268,err=298.954917
Reset::268->Twiddle Updating:it=11,p=[0.010000,0.000000,2.100000],dp=[0.990000,0.810000,1.210000],best_err=255.581268,err=161.196406
Reset::272->Twiddle Ignoring:it=12,p=[0.010000,0.810000,2.100000],dp=[1.089000,0.810000,1.210000],best_err=161.196406,err=951.652696
Reset::272->Twiddle Ignoring:it=13,p=[0.010000,-0.810000,2.100000],dp=[1.089000,0.810000,1.210000],best_err=161.196406,err=1031.043474
Reset::268->Twiddle Updating:it=14,p=[0.010000,0.000000,3.310000],dp=[1.089000,0.729000,1.210000],best_err=161.196406,err=148.838296
Reset::272->Twiddle Ignoring:it=15,p=[1.099000,0.000000,3.310000],dp=[1.089000,0.729000,1.331000],best_err=148.838296,err=197.578700
Reset::272->Twiddle Ignoring:it=16,p=[-1.079000,0.000000,3.310000],dp=[1.089000,0.729000,1.331000],best_err=148.838296,err=1031.071378
Reset::272->Twiddle Ignoring:it=17,p=[0.010000,0.729000,3.310000],dp=[0.980100,0.729000,1.331000],best_err=148.838296,err=832.143224
Reset::272->Twiddle Ignoring:it=18,p=[0.010000,-0.729000,3.310000],dp=[0.980100,0.729000,1.331000],best_err=148.838296,err=1152.268036
Reset::272->Twiddle Ignoring:it=19,p=[0.010000,0.000000,4.641000],dp=[0.980100,0.656100,1.331000],best_err=148.838296,err=151.571543
Reset::272->Twiddle Ignoring:it=20,p=[0.010000,0.000000,1.979000],dp=[0.980100,0.656100,1.331000],best_err=148.838296,err=179.953246
Reset::272->Twiddle Ignoring:it=21,p=[0.990100,0.000000,3.310000],dp=[0.980100,0.656100,1.197900],best_err=148.838296,err=179.210189
Reset::272->Twiddle Ignoring:it=22,p=[-0.970100,0.000000,3.310000],dp=[0.980100,0.656100,1.197900],best_err=148.838296,err=1132.310045
Reset::272->Twiddle Ignoring:it=23,p=[0.010000,0.656100,3.310000],dp=[0.882090,0.656100,1.197900],best_err=148.838296,err=891.013511
Reset::272->Twiddle Ignoring:it=24,p=[0.010000,-0.656100,3.310000],dp=[0.882090,0.656100,1.197900],best_err=148.838296,err=1113.183934
Reset::272->Twiddle Ignoring:it=25,p=[0.010000,0.000000,4.507900],dp=[0.882090,0.590490,1.197900],best_err=148.838296,err=158.740104
Reset::272->Twiddle Ignoring:it=26,p=[0.010000,0.000000,2.112100],dp=[0.882090,0.590490,1.197900],best_err=148.838296,err=157.620773
Reset::272->Twiddle Ignoring:it=27,p=[0.892090,0.000000,3.310000],dp=[0.882090,0.590490,1.078110],best_err=148.838296,err=188.634279
Reset::272->Twiddle Ignoring:it=28,p=[-0.872090,0.000000,3.310000],dp=[0.882090,0.590490,1.078110],best_err=148.838296,err=1064.223987
Reset::272->Twiddle Ignoring:it=29,p=[0.010000,0.590490,3.310000],dp=[0.793881,0.590490,1.078110],best_err=148.838296,err=959.639352
Reset::272->Twiddle Ignoring:it=30,p=[0.010000,-0.590490,3.310000],dp=[0.793881,0.590490,1.078110],best_err=148.838296,err=1089.257311
Reset::272->Twiddle Ignoring:it=31,p=[0.010000,0.000000,4.388110],dp=[0.793881,0.531441,1.078110],best_err=148.838296,err=158.260648
Reset::272->Twiddle Ignoring:it=32,p=[0.010000,0.000000,2.231890],dp=[0.793881,0.531441,1.078110],best_err=148.838296,err=178.645338
Reset::272->Twiddle Ignoring:it=33,p=[0.803881,0.000000,3.310000],dp=[0.793881,0.531441,0.970299],best_err=148.838296,err=209.449968
Reset::272->Twiddle Ignoring:it=34,p=[-0.783881,0.000000,3.310000],dp=[0.793881,0.531441,0.970299],best_err=148.838296,err=1082.649344
Reset::272->Twiddle Ignoring:it=35,p=[0.010000,0.531441,3.310000],dp=[0.714493,0.531441,0.970299],best_err=148.838296,err=870.906810
Reset::272->Twiddle Ignoring:it=36,p=[0.010000,-0.531441,3.310000],dp=[0.714493,0.531441,0.970299],best_err=148.838296,err=1087.834343
Reset::268->Twiddle Updating:it=37,p=[0.010000,0.000000,4.280299],dp=[0.714493,0.478297,0.970299],best_err=148.838296,err=144.365187
Reset::272->Twiddle Ignoring:it=38,p=[0.724493,0.000000,4.280299],dp=[0.714493,0.478297,1.067329],best_err=144.365187,err=188.871169
Reset::272->Twiddle Ignoring:it=39,p=[-0.704493,0.000000,4.280299],dp=[0.714493,0.478297,1.067329],best_err=144.365187,err=1097.095712
Reset::272->Twiddle Ignoring:it=40,p=[0.010000,0.478297,4.280299],dp=[0.643044,0.478297,1.067329],best_err=144.365187,err=886.387971
Reset::272->Twiddle Ignoring:it=41,p=[0.010000,-0.478297,4.280299],dp=[0.643044,0.478297,1.067329],best_err=144.365187,err=1139.283722
Reset::272->Twiddle Ignoring:it=42,p=[0.010000,0.000000,5.347628],dp=[0.643044,0.430467,1.067329],best_err=144.365187,err=160.846540
Reset::272->Twiddle Ignoring:it=43,p=[0.010000,0.000000,3.212970],dp=[0.643044,0.430467,1.067329],best_err=144.365187,err=163.403505
